"CountyTown","Y104M12","Y105M06","Y105M12","Y106M06","Y106M12","Y104M12_status","Y105M06_status","Y105M12_status","Y106M06_status","Y106M12_status"
"新北市三芝區",14.45,14.9,15.35,15.86,16.22,"高齡","高齡","高齡","高齡","高齡"
"新北市三重區",11.16,11.61,12.11,12.56,13.04,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市深坑區",10.99,11.34,11.78,12.25,12.67,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市石碇區",18.87,19.25,19.7,20.11,20.32,"高齡","高齡","高齡","超高齡","超高齡"
"新北市石門區",14.35,14.59,14.89,15.4,15.64,"高齡","高齡","高齡","高齡","高齡"
"新北市樹林區",8.69,9.07,9.46,9.88,10.3,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市雙溪區",23.43,23.74,24.23,24.8,25.1,"超高齡","超高齡","超高齡","超高齡","超高齡"
"新北市泰山區",8.54,8.92,9.39,9.74,10.21,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市土城區",8.01,8.41,8.86,9.28,9.73,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市萬里區",15.31,15.64,16.06,16.56,17.04,"高齡","高齡","高齡","高齡","高齡"
"新北市烏來區",10.97,11.5,11.85,12.31,12.39,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市五股區",9.1,9.39,9.72,9.94,10.31,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市汐止區",10.5,10.92,11.33,11.77,12.22,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市新店區",13.85,14.38,14.92,15.4,15.93,"高齡化","高齡","高齡","高齡","高齡"
"新北市新莊區",8.4,8.8,9.27,9.69,10.11,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市鶯歌區",9.25,9.57,10.02,10.37,10.77,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新北市永和區",14.27,14.77,15.4,15.94,16.52,"高齡","高齡","高齡","高齡","高齡"
"新北市中和區",12.25,12.71,13.3,13.82,14.36,"高齡化","高齡化","高齡化","高齡化","高齡"
"新竹市北區",11.46,11.74,12.05,12.38,12.63,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新竹市東區",10.15,10.37,10.58,10.77,11.02,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新竹市香山區",9.58,9.87,10.14,10.36,10.66,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新竹縣寶山鄉",14.27,14.35,14.4,14.51,14.58,"高齡","高齡","高齡","高齡","高齡"
"新竹縣北埔鄉",19.7,19.85,20.06,20.29,20.33,"高齡","高齡","超高齡","超高齡","超高齡"
"新竹縣峨眉鄉",25.12,25.38,25.59,25.62,25.79,"超高齡","超高齡","超高齡","超高齡","超高齡"
"新竹縣關西鎮",19.13,19.49,19.74,20.02,20.14,"高齡","高齡","高齡","超高齡","超高齡"
"新竹縣橫山鄉",20.38,20.53,20.8,21.14,21.38,"超高齡","超高齡","超高齡","超高齡","超高齡"
"新竹縣湖口鄉",10.99,11.15,11.33,11.67,11.83,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新竹縣尖石鄉",7.58,7.91,7.88,8.02,8.13,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新竹縣芎林鄉",15.76,16,16.21,16.5,16.81,"高齡","高齡","高齡","高齡","高齡"
"新竹縣五峰鄉",9.45,9.91,10.06,10.52,10.84,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新竹縣新埔鎮",17.07,17.28,17.57,17.9,18.16,"高齡","高齡","高齡","高齡","高齡"
"新竹縣新豐鄉",9.71,9.91,10.08,10.29,10.48,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新竹縣竹北市",7.13,7.27,7.35,7.47,7.53,"高齡化","高齡化","高齡化","高齡化","高齡化"
"新竹縣竹東鎮",12.27,12.39,12.6,12.83,12.97,"高齡化","高齡化","高齡化","高齡化","高齡化"
"宜蘭縣大同鄉",8.91,8.99,9.17,9.2,9.19,"高齡化","高齡化","高齡化","高齡化","高齡化"
"宜蘭縣冬山鄉",13.76,14.11,14.41,14.66,14.98,"高齡化","高齡","高齡","高齡","高齡"
"宜蘭縣礁溪鄉",15.46,15.8,16.05,16.32,16.59,"高齡","高齡","高齡","高齡","高齡"
"宜蘭縣羅東鎮",12.91,13.21,13.58,13.94,14.32,"高齡化","高齡化","高齡化","高齡化","高齡"
"宜蘭縣南澳鄉",8.36,8.45,8.56,8.58,8.78,"高齡化","高齡化","高齡化","高齡化","高齡化"
"宜蘭縣三星鄉",17.88,18.16,18.45,18.64,18.78,"高齡","高齡","高齡","高齡","高齡"
"宜蘭縣蘇澳鎮",16.62,16.84,17.24,17.62,17.96,"高齡","高齡","高齡","高齡","高齡"
"宜蘭縣頭城鎮",15.73,15.99,16.25,16.5,16.58,"高齡","高齡","高齡","高齡","高齡"
